price_x,size,brand,category,INNER SOLE,fabric_0,fabric_1,fabric_2,fabric_3,fabric_4,fabric_5,fabric_6,generalized_category,color,color_0,color_1,color_2,color_3,color_4,color_5,color_6,color_7,notes_0,notes_1,notes_2,notes_3,notes_4,notes_5,notes_6,notes_7,notes_8,notes_9,notes_10,notes_11,notes_12,notes_13,notes_14,notes_15,notes_16,notes_17,notes_18,notes_19,notes_20,notes_21,notes_22,notes_23,notes_24,notes_25,notes_26,notes_27,notes_28,notes_29,notes_30,notes_31,notes_32,notes_33,notes_34,notes_35,notes_36,notes_37,notes_38,notes_39,notes_40,notes_41,notes_42,notes_43,notes_44,notes_45,notes_46,notes_47,notes_48,notes_49,notes_50,notes_51,notes_52,notes_53,notes_54,notes_55,notes_56,notes_57,notes_58,notes_59,notes_60,notes_61,notes_62,text_0,text_1,text_2,text_3,text_4,text_5,condition_0,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7,condition_8,condition_9,condition_10,condition_11,condition_12,condition_13,condition_14
40.0,16,@EMGIRL ,skirt,unknown,polynosic,wool,polyester,unknown,unknown,unknown,unknown,lower,['black'],black, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,blend,wool, , , , ,excellent,preloved, , , , , , , , , , , , , 
45.0,12,A WEAR ,dress,unknown,polyeseter,unknown,unknown,unknown,unknown,unknown,unknown,full_body,['black'],black, , , , , , , ,thick,fitted,stretch,ribbed,pleats,zip,little,skirt,back,bodice,waist,semi,access, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ribbed,swing,emerald, , , ,excellent,preloved, , , , , , , , , , , , , 
95.0,8,ADIDAS ,sneakers, 25.5cms      WIDTH,synthetic,unknown,unknown,unknown,unknown,unknown,unknown,shoes,"['khaki', 'white']",khaki,white, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,run,khaki,metallic,swift, , ,worn,hardly,like,new, , , , , , , , , , , 
49.0,8,AEROSOLES ,loafers, 25cms      WIDTH,leather,rubber,unknown,unknown,unknown,unknown,unknown,shoes,"['bronze', 'gold']",bronze,gold, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,leather,gold, , , , ,preloved,good,marks,scuff, , , , , , , , , , , 
25.0,10,ALANNAH HILL ,dress,unknown,polyester,wool,viscose,polyamide,elastane,unknown,unknown,full_body,"['black', 'brown', 'charcoal']",black,brown,charcoal, , , , , ,pockets,lined,front,zip,place,back,shoulder,straps,button,australia,access, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,pinafore,blend,wool, , , ,drycleaning,preloved,good,requires, , , , , , , , , , , 
35.0,10-12,ALL ABOUT EVE ,jumper,unknown,cotton,acrylic,unknown,unknown,unknown,unknown,unknown,upper,"['navy', 'blue']",navy,blue, , , , , , ,stretch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,sundays,knit,neck,roll, , ,excellent,preloved, , , , , , , , , , , , , 
40.0,12,ALL ABOUT EVE ,coat,unknown,pu,wool,viscose,polyester,unknown,unknown,unknown,outerwear,['grey'],grey, , , , , , , ,pockets,removable,lined,front,place,hood,button,buttons, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,blend,wool,duffle, , , ,pleather,peeling,preloved,good,collar, , , , , , , , , , 
18.0,No size in title,ALL ABOUT EVE ,hat,unknown,wool,unknown,unknown,unknown,unknown,unknown,unknown,headwear,['black'],black, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,fedora,wool,felt, , , ,excellent,preloved, , , , , , , , , , , , , 
29.0,No size in title,ALPAS ,scarf,unknown,viscose,unknown,unknown,unknown,unknown,unknown,unknown,accessory,"['purple', 'pink', 'white']",purple,pink,white, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,super,soft,pink, , , ,excellent,preloved, , , , , , , , , , , , , 
35.0,No size in title,ALTEA,scarf,unknown,wool,nylon,unknown,unknown,unknown,unknown,unknown,accessory,"['brown', 'grey', 'blue', 'white']",brown,grey,blue,white, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ita,stripe,blend,wool, , ,excellent,preloved, , , , , , , , , , , , , 
