text,price,size,cleaned_text,category,brand
@EMGIRL - Wool blend skirt! 16,40.0,16,Wool blend  ,skirt,@EMGIRL 
A WEAR - Emerald ribbed swing dress! 12,45.0,12,Emerald ribbed swing  ,dress,A WEAR 
ADIDAS - Swift run khaki metallic sneakers! 8,95.0,8,Swift run khaki metallic  ,sneakers,ADIDAS 
AEROSOLES - Gold leather loafers! 8,49.0,8,Gold leather  ,loafers,AEROSOLES 
ALANNAH HILL - Wool blend pinafore dress! 10,25.0,10,Wool blend pinafore  ,dress,ALANNAH HILL 
ALL ABOUT EVE - Sundays roll neck knit jumper! 10-12,35.0,10-12,Sundays roll neck knit  ,jumper,ALL ABOUT EVE 
ALL ABOUT EVE - Wool blend duffle coat! 12,40.0,12,Wool blend duffle  ,coat,ALL ABOUT EVE 
ALL ABOUT EVE - Wool felt fedora hat!,18.0,No size in title,Wool felt fedora  ,hat,ALL ABOUT EVE 
ALL BEAUTIFUL - Mesh top! 12,0.0,12,Mesh  ,top,ALL BEAUTIFUL 
ALPAS - Super soft pink scarf!,29.0,No size in title,Super soft pink  ,scarf,ALPAS 
ALTEA (ITA) Wool blend stripe scarf!,35.0,No size in title,(ITA) Wool blend stripe,scarf,ALTEA
"AMAYA (BN) ""Kanzo"" satin black top! 10-12",59.0,10-12,"(BN) ""Kanzo"" satin black",top,AMAYA
"AMAYA By Augustine ""Alba"" splatter print top! 10",50.0,10,Alba splatter print,top,AMAYA By Augustine
ANALYTIC - A-line midi skirt! 14,30.0,14,Aline midi  ,skirt,ANALYTIC 
ANDREA MOORE - Geo print skirt! 16,45.0,16,Geo print  ,skirt,ANDREA MOORE 
ANDREA MOORE - High waisted dress pants! 10,30.0,10,High waisted dress  ,pants,ANDREA MOORE 
ANDREA MOORE - Leopard jacquard skirt! 16,45.0,16,Leopard jacquard  ,skirt,ANDREA MOORE 
ANDREA MOORE - Pleat skirt! 16,45.0,16,Pleat  ,skirt,ANDREA MOORE 
ANDREA MOORE - Princess sleeve stripe top! 14-16,30.0,14-16,Princess sleeve stripe  ,top,ANDREA MOORE 
ANDREA MOORE - Printed mini skirt! 8,20.0,8,Printed mini  ,skirt,ANDREA MOORE 
ANDREA MOORE - Scandi print linen blend skirt! 12,45.0,12,Scandi print linen blend  ,skirt,ANDREA MOORE 
ANDREA MOORE - Skinny ankle grazer jeans! 10,40.0,10,Skinny ankle grazer  ,jeans,ANDREA MOORE 
ANDREA MOORE - Striped tunic dress! 12,45.0,12,Striped tunic  ,dress,ANDREA MOORE 
ANDREA MOORE - Structured shoulder silk wrap dress! 10-12,95.0,10-12,Structured shoulder silk wrap  ,dress,ANDREA MOORE 
ANDREA MOORE - Swan dress star brocade farbic! 12,49.0,12,Swan dress star brocade  ,farbic,ANDREA MOORE 
ANDREA MOORE - Wool pencil skirt! 16,35.0,16,Wool pencil  ,skirt,ANDREA MOORE 
ANGEL LACE - Linen hi low tunic! 10-12,40.0,10-12,Linen hi low  ,tunic,ANGEL LACE 
ANIMALE - Linen blend top! 12-14,39.0,12-14,Linen blend  ,top,ANIMALE 
ANIMALE - Red bolero top! 10-12,29.0,10-12,Red bolero  ,top,ANIMALE 
ANKO - Mustard cotton eyelet top! 16,32.0,16,Mustard cotton eyelet  ,top,ANKO 
ANKO - Rusty red bomber jacket! 12,20.0,12,Rusty red bomber  ,jacket,ANKO 
ANNA THOMAS (AU) Woven coat! 10,69.0,10,(AU) Woven,coat,ANNA THOMAS
"ANNAH S ""Flipit"" Silk blend reversible wrap dress! 10-12",89.0,10-12,Flipit Silk blend reversible wrap,dress,ANNAH S
ANNAH S - Berry abstract chiffon dress! 12,59.0,12,Berry abstract chiffon  ,dress,ANNAH S 
ANNAH S - Chameleon wrap dress! 10,79.0,10,Chameleon wrap  ,dress,ANNAH S 
ANNAH S - Floral print & mesh top! 10-12,35.0,10-12,Floral print & mesh  ,top,ANNAH S 
ANNAH S - Fringed vintage inspired dress! 10,49.0,10,Fringed vintage inspired  ,dress,ANNAH S 
ANNAH S - Green bolero! 10-12,39.0,10-12,Green  ,bolero,ANNAH S 
ANNAH S - Hi low blouse! 10-12,40.0,10-12,Hi low  ,blouse,ANNAH S 
ANNAH S - Knit maxi skirt! 12,45.0,12,Knit maxi  ,skirt,ANNAH S 
ANNAH S - Mesh petty coat! 10,45.0,10,Mesh petty  ,coat,ANNAH S 
ANNAH S - Metallic thread cold shoulder top! 10,35.0,10,Metallic thread cold shoulder  ,top,ANNAH S 
ANNAH S - Pretty pink tiered tunic! 10,32.0,10,Pretty pink tiered  ,tunic,ANNAH S 
ANNAH S - Rosette detail lace dress! 10,49.0,10,Rosette detail lace  ,dress,ANNAH S 
ANNAH S - Silk blend floral dress! 16,55.0,16,Silk blend floral  ,dress,ANNAH S 
ANNAH S - Wrap linen blend dress! 8-10,60.0,8-10,Wrap linen blend  ,dress,ANNAH S 
ANNAH S PINK - Ever So Smitten - Off the shoulder dress! 10-12,45.0,10-12,Ever So Smitten - Off the shoulder  ,dress,ANNAH S PINK 
ANNAH.S - Abstract print dress! 16,75.0,16,Abstract print  ,dress,ANNAH.S 
ANNAH.S - Deconstruct cami top! 14-16,25.0,14-16,Deconstruct cami  ,top,ANNAH.S 
ANNAH.S - Fringed dress! 10,59.0,10,Fringed  ,dress,ANNAH.S 
ANNAH.S - Mint mesh top! 8-10,30.0,8-10,Mint mesh  ,top,ANNAH.S 
ANNAH.S - Multi print dress! 8-10,40.0,8-10,Multi print  ,dress,ANNAH.S 
ANNAH.S - Satin cocktail dress! 16-18,49.0,16-18,Satin cocktail  ,dress,ANNAH.S 
ANNAH.S - Silk blend floral dress! 10,69.0,10,Silk blend floral  ,dress,ANNAH.S 
ANNAH.S - Velvet flocked dress! 14,65.0,14,Velvet flocked  ,dress,ANNAH.S 
ANNAH.S - Wide leg + floral appliqué jumpsuit! 14,65.0,14,Wide leg + floral appliqué  ,jumpsuit,ANNAH.S 
ANNE MARDELL (NZ) - BN Mesh top! 12,39.0,12,(NZ) - BN Mesh,top,ANNE MARDELL
ANNE MARDELL (NZ) Cobalt print dress with belt! 10,60.0,10,(NZ) Cobalt print dress with,belt,ANNE MARDELL
ANNE MARDELL (NZ) Textured rose top! 10-12,40.0,10-12,(NZ) Textured rose,top,ANNE MARDELL
ANNE MARDELL (NZ) Textured skirt! 10,40.0,10,(NZ) Textured,skirt,ANNE MARDELL
ANNE MARDELL - Bias maxi dress! 12,39.0,12,Bias maxi  ,dress,ANNE MARDELL 
ANTHEA CRAWFORD (AU) Cropped evening jacket! 16,29.0,16,(AU) Cropped evening,jacket,ANTHEA CRAWFORD
ANTHEA CRAWFORD (AU) Velvet + lace cami! 12,20.0,12,(AU) Velvet + lace,cami,ANTHEA CRAWFORD
ANTHEA CRAWFORD (AU) Velvet + lace cami! 14,20.0,14,(AU) Velvet + lace,cami,ANTHEA CRAWFORD
ANTIK BATIK - Ruffled top! 8-10,35.0,8-10,Ruffled  ,top,ANTIK BATIK 
ANTILIA FEMME - Batwing colouful print top! 12,15.0,12,Batwing colouful print  ,top,ANTILIA FEMME 
