text,price_x,size,cleaned_text,category,brand,lower_title,TITLE,BUST,COLOUR,CONDITION,DESIGNER NOTES,FABRIC,FITS LIKE,HEIGHT,INNER SOLE,MEASUREMENTS,NOTES,SIZE ON BELT,SIZE ON SHOE,SIZE ON TAG,WAIST,price_y,url
@EMGIRL - Wool blend skirt! 16,40.0,16,Wool blend  ,skirt,@EMGIRL ,@emgirl - wool blend skirt! 16,@EMGIRL - WOOL BLEND SKIRT! 16,, Black, Excellent preloved,," 50% wool, 30% polynosic, 20% polyester", N/A,,,WAIST: 46cms      HIPS: 63cms      LENGTH: 66cms ,,,, 16, 46cms      HIPS,$40.00,https://recycle-style.myshopify.com/collections/all/products/emerge-wool-blend-skirt-16
A WEAR - Emerald ribbed swing dress! 12,45.0,12,Emerald ribbed swing  ,dress,A WEAR ,a wear - emerald ribbed swing dress! 12,A WEAR - EMERALD RIBBED SWING DRESS! 12, 46cms     WAIST, Black, Excellent preloved,, Polyeseter, 12,,,BUST: 46cms     WAIST: 39cms     LENGTH: 90cms,  Thick ribbed fabric with a little stretch.  Semi fitted bodice and waist with pleats in the skirt.  Back zip access.,,, 10/38,,$45.00,https://recycle-style.myshopify.com/collections/all/products/a-wear-emerald-dress-12
ADIDAS - Swift run khaki metallic sneakers! 8,95.0,8,Swift run khaki metallic  ,sneakers,ADIDAS ,adidas - swift run khaki metallic sneakers! 8,ADIDAS - SWIFT RUN KHAKI METALLIC SNEAKERS! 8,," Khaki, white"," Like new, hardly worn",, Fully synthetic, Womens US 8,, 25.5cms      WIDTH,INNER SOLE: 25.5cms      WIDTH: 11cms      HEEL: 2.5cms,,, US Mens 7.5,,,$95.00,https://recycle-style.myshopify.com/collections/all/products/adidas-khaki-sneakers-7-5
AEROSOLES - Gold leather loafers! 8,49.0,8,Gold leather  ,loafers,AEROSOLES ,aerosoles - gold leather loafers! 8,AEROSOLES - GOLD LEATHER LOAFERS! 8,," Bronze, gold"," Very good preloved, few scuff marks",," Leather upper, leather lining, rubber sole", N/A,, 25cms      WIDTH,INNER SOLE: 25cms      WIDTH: 9cms      HEEL: 2cms,,, 8,,,$49.00,https://recycle-style.myshopify.com/collections/all/products/aerosoles-stitch-n-turn-nuwsworthy-leather-flats-8
ALANNAH HILL - Wool blend pinafore dress! 10,25.0,10,Wool blend pinafore  ,dress,ALANNAH HILL ,alannah hill - wool blend pinafore dress! 10,ALANNAH HILL - WOOL BLEND PINAFORE DRESS! 10, 46cms     WAIST," Charcoal black, brown"," Good preloved, requires dry-cleaning",," 40% wool, 26% polyester, 17% polyamide, 14% viscose, 3% elastane, Lining - viscose", N/A,,,BUST: 46cms     WAIST: 38cms     LENGTH: 99cms, Made in Australia.  Back zip access.  Shoulder straps button in place.  Fully lined.  Front pockets.  ,,, 10,,$25.00,https://recycle-style.myshopify.com/collections/all/products/alannah-hill-wool-blend-dress-10
ALL ABOUT EVE - Sundays roll neck knit jumper! 10-12,35.0,10-12,Sundays roll neck knit  ,jumper,ALL ABOUT EVE ,all about eve - sundays roll neck knit jumper! 10-12,ALL ABOUT EVE - SUNDAYS ROLL NECK KNIT JUMPER! 10-12, 50cms     WAIST, Navy blue, Excellent preloved,," 50% cotton, 50% acrylic", 10-12,,,BUST: 50cms     WAIST: 49cms     LENGTH: 71cms, Fabric has stretch.  ,,, 10,,$35.00,https://recycle-style.myshopify.com/collections/all/products/all-about-eve-sundays-roll-neck-knit-jumper-10-13
ALL ABOUT EVE - Wool blend duffle coat! 12,40.0,12,Wool blend duffle  ,coat,ALL ABOUT EVE ,all about eve - wool blend duffle coat! 12,ALL ABOUT EVE - WOOL BLEND DUFFLE COAT! 12, 54cms     WAIST, Grey," Good preloved, pleather collar is peeling.",," 70% polyester, 30% wool, Lining - viscose, Sleeve Lining - polyester, Trim - PU, Fill - polyester", N/A,,,BUST: 54cms     WAIST: 55cms     LENGTH: 77cms, Removable hood buttons in place.  Fully lined.  Front pockets.  Button up front.  ,,, 12,,$40.00,https://recycle-style.myshopify.com/collections/all/products/all-about-eve-hooded-wool-blend-coat-12
ALL ABOUT EVE - Wool felt fedora hat!,18.0,No size in title,Wool felt fedora  ,hat,ALL ABOUT EVE ,all about eve - wool felt fedora hat!,ALL ABOUT EVE - WOOL FELT FEDORA HAT!,, Black, Excellent preloved,, 100% wool,,,,INNER CIRCUMFERENCE: 57cms     ,,,, One size fits all,,$18.00,https://recycle-style.myshopify.com/collections/all/products/all-about-eve-black-wool-felt-hat
ALL BEAUTIFUL - Mesh top! 12,0.0,12,Mesh  ,top,ALL BEAUTIFUL ,all beautiful - mesh top! 12,ALL BEAUTIFUL - MESH TOP! 12, 47cms     WAIST, Black, Excellent preloved,, Polyester, 12,,,BUST: 47cms     WAIST: 44cms     LENGTH: 52cms, Double layer through front.  Fabric has stretch.  Curved hemline.  ,,, 38,,,https://recycle-style.myshopify.com/collections/all/products/all-beautiful-mesh-top-14
ALPAS - Super soft pink scarf!,29.0,No size in title,Super soft pink  ,scarf,ALPAS ,alpas - super soft pink scarf!,ALPAS - SUPER SOFT PINK SCARF!,," Pink, purple, white", Excellent preloved,," No tag, viscose",,,,WIDTH: 64cms      LENGTH: 192cms,,,,,,$29.00,https://recycle-style.myshopify.com/collections/all/products/alpas-pink-scarf
ALTEA (ITA) Wool blend stripe scarf!,35.0,No size in title,(ITA) Wool blend stripe,scarf,ALTEA,altea (ita) wool blend stripe scarf!,ALTEA (ITA) WOOL BLEND STRIPE SCARF!,," Brown, blue, grey, white", Excellent preloved,," 80% wool, 20% nylon",,,,WIDTH: 32cms     LENGTH: 190cms,,,,,,$35.00,https://recycle-style.myshopify.com/collections/all/products/altea-ita-wool-blend-stripe-scarf
